,PostalCode,Borough,Neighborhood
87,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
89,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
90,M1W,Scarborough,"Steeles West, L'Amoreaux West"
91,M4W,Downtown Toronto,Rosedale
92,M5W,Downtown Toronto,Stn A PO Boxes
93,M8W,Etobicoke,"Alderwood, Long Branch"
94,M9W,Etobicoke,"Northwest, West Humber - Clairville"
95,M1X,Scarborough,Upper Rouge
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
97,M5X,Downtown Toronto,"First Canadian Place, Underground city"
98,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
99,M4Y,Downtown Toronto,Church and Wellesley
100,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
101,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
102,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
103,,Canadian postal codes,
104,M3A,North York,Parkwoods
105,M4A,North York,Victoria Village
106,M5A,Downtown Toronto,"Regent Park, Harbourfront"
107,M6A,North York,"Lawrence Manor, Lawrence Heights"
108,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
109,M9A,Etobicoke,"Islington Avenue, Humber Valley Village"
110,M1B,Scarborough,"Malvern, Rouge"
111,M3B,North York,Don Mills
112,M4B,East York,"Parkview Hill, Woodbine Gardens"
113,M5B,Downtown Toronto,"Garden District, Ryerson"
114,M6B,North York,Glencairn
115,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
116,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek"
117,M3C,North York,Don Mills
118,M4C,East York,Woodbine Heights
119,M5C,Downtown Toronto,St. James Town
120,M6C,York,Humewood-Cedarvale
121,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
122,M1E,Scarborough,"Guildwood, Morningside, West Hill"
123,M4E,East Toronto,The Beaches
124,M5E,Downtown Toronto,Berczy Park
125,M6E,York,Caledonia-Fairbanks
126,M1G,Scarborough,Woburn
127,M4G,East York,Leaside
128,M5G,Downtown Toronto,Central Bay Street
129,M6G,Downtown Toronto,Christie
130,M1H,Scarborough,Cedarbrae
131,M2H,North York,Hillcrest Village
132,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North"
133,M4H,East York,Thorncliffe Park
134,M5H,Downtown Toronto,"Richmond, Adelaide, King"
135,M6H,West Toronto,"Dufferin, Dovercourt Village"
136,M1J,Scarborough,Scarborough Village
137,M2J,North York,"Fairview, Henry Farm, Oriole"
138,M3J,North York,"Northwood Park, York University"
139,M4J,East York,"East Toronto, Broadview North (Old East York)"
140,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
141,M6J,West Toronto,"Little Portugal, Trinity"
142,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
143,M2K,North York,Bayview Village
144,M3K,North York,Downsview
145,M4K,East Toronto,"The Danforth West, Riverdale"
146,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
147,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
148,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge"
149,M2L,North York,"York Mills, Silver Hills"
150,M3L,North York,Downsview
151,M4L,East Toronto,"India Bazaar, The Beaches West"
152,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
153,M6L,North York,"North Park, Maple Leaf Park, Upwood Park"
154,M9L,North York,Humber Summit
155,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
156,M2M,North York,"Willowdale, Newtonbrook"
157,M3M,North York,Downsview
158,M4M,East Toronto,Studio District
159,M5M,North York,"Bedford Park, Lawrence Manor East"
160,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
161,M9M,North York,"Humberlea, Emery"
162,M1N,Scarborough,"Birch Cliff, Cliffside West"
163,M2N,North York,"Willowdale, Willowdale East"
164,M3N,North York,Downsview
165,M4N,Central Toronto,Lawrence Park
166,M5N,Central Toronto,Roselawn
167,M6N,York,"Runnymede, The Junction North"
168,M9N,York,Weston
169,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
170,M2P,North York,York Mills West
171,M4P,Central Toronto,Davisville North
172,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park"
173,M6P,West Toronto,"High Park, The Junction South"
174,M9P,Etobicoke,Westmount
175,M1R,Scarborough,"Wexford, Maryvale"
176,M2R,North York,"Willowdale, Willowdale West"
177,M4R,Central Toronto,"North Toronto West,  Lawrence Park"
178,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
179,M6R,West Toronto,"Parkdale, Roncesvalles"
180,M7R,Mississauga,Canada Post Gateway Processing Centre
181,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
182,M1S,Scarborough,Agincourt
183,M4S,Central Toronto,Davisville
184,M5S,Downtown Toronto,"University of Toronto, Harbord"
185,M6S,West Toronto,"Runnymede, Swansea"
186,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
187,M4T,Central Toronto,"Moore Park, Summerhill East"
188,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
189,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
190,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
191,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
192,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
193,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
194,M1W,Scarborough,"Steeles West, L'Amoreaux West"
195,M4W,Downtown Toronto,Rosedale
196,M5W,Downtown Toronto,Stn A PO Boxes
197,M8W,Etobicoke,"Alderwood, Long Branch"
198,M9W,Etobicoke,"Northwest, West Humber - Clairville"
199,M1X,Scarborough,Upper Rouge
200,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
201,M5X,Downtown Toronto,"First Canadian Place, Underground city"
202,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
203,M4Y,Downtown Toronto,Church and Wellesley
204,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
205,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
206,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
